Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [9][170/206]	Time (s):  0.996	Loss: -0.7452
Epoch: [9][180/206]	Time (s):  0.995	Loss: -0.7189
Epoch: [9][190/206]	Time (s):  1.006	Loss: -0.7369
Epoch: [9][200/206]	Time (s):  1.160	Loss: -0.8085
Checkpoint 9 saved.
Epoch: [10][  0/206]	Time (s): 22.633	Loss: -0.6601
Epoch: [10][ 10/206]	Time (s):  1.119	Loss: -0.5410
Epoch: [10][ 20/206]	Time (s):  1.240	Loss: -0.4709
Epoch: [10][ 30/206]	Time (s):  1.125	Loss: -0.6351
Epoch: [10][ 40/206]	Time (s):  1.157	Loss: -0.6382
Epoch: [10][ 50/206]	Time (s):  1.120	Loss: -0.6320
Epoch: [10][ 60/206]	Time (s):  1.192	Loss: -0.6593
Epoch: [10][ 70/206]	Time (s):  1.221	Loss: -0.7134
Epoch: [10][ 80/206]	Time (s):  1.131	Loss: -0.7350
Epoch: [10][ 90/206]	Time (s):  1.241	Loss: -0.6772
Epoch: [10][100/206]	Time (s):  1.142	Loss: -0.6721
Epoch: [10][110/206]	Time (s):  1.176	Loss: -0.7045
Epoch: [10][120/206]	Time (s):  1.206	Loss: -0.7211
Epoch: [10][130/206]	Time (s):  1.185	Loss: -0.6399
Epoch: [10][140/206]	Time (s):  1.214	Loss: -0.6273
Epoch: [10][150/206]	Time (s):  1.159	Loss: -0.7035
Epoch: [10][160/206]	Time (s):  1.239	Loss: -0.7183
Epoch: [10][170/206]	Time (s):  1.144	Loss: -0.8455
Epoch: [10][180/206]	Time (s):  1.166	Loss: -0.8113
Epoch: [10][190/206]	Time (s):  1.007	Loss: -0.7749
Epoch: [10][200/206]	Time (s):  1.392	Loss: -0.5966
Epoch: [11][  0/206]	Time (s): 21.404	Loss: -0.8039
Epoch: [11][ 10/206]	Time (s):  1.759	Loss: -0.6182
Epoch: [11][ 20/206]	Time (s):  1.637	Loss: -0.7789
Epoch: [11][ 30/206]	Time (s):  1.344	Loss: -0.6659
Epoch: [11][ 40/206]	Time (s):  0.991	Loss: -0.6896
Epoch: [11][ 50/206]	Time (s):  1.086	Loss: -0.7879
Epoch: [11][ 60/206]	Time (s):  0.991	Loss: -0.7376
Epoch: [11][ 70/206]	Time (s):  1.272	Loss: -0.7379
Epoch: [11][ 80/206]	Time (s):  1.029	Loss: -0.6543
Epoch: [11][ 90/206]	Time (s):  1.707	Loss: -0.7960
Epoch: [11][100/206]	Time (s):  0.990	Loss: -0.7795
Epoch: [11][110/206]	Time (s):  1.730	Loss: -0.6983
Epoch: [11][120/206]	Time (s):  1.700	Loss: -0.8457
Epoch: [11][130/206]	Time (s):  2.107	Loss: -0.8073
Epoch: [11][140/206]	Time (s):  0.997	Loss: -0.8548
Epoch: [11][150/206]	Time (s):  1.029	Loss: -0.7330
Epoch: [11][160/206]	Time (s):  1.185	Loss: -0.8381
Epoch: [11][170/206]	Time (s):  0.988	Loss: -0.7870
Epoch: [11][180/206]	Time (s):  0.990	Loss: -0.6516
Epoch: [11][190/206]	Time (s):  1.536	Loss: -0.7770
Epoch: [11][200/206]	Time (s):  0.992	Loss: -0.7180
Epoch: [12][  0/206]	Time (s): 20.710	Loss: -0.7042
Epoch: [12][ 10/206]	Time (s):  0.992	Loss: -0.7992
Epoch: [12][ 20/206]	Time (s):  0.993	Loss: -0.6936
Epoch: [12][ 30/206]	Time (s):  0.993	Loss: -0.8062
Epoch: [12][ 40/206]	Time (s):  0.993	Loss: -0.7432
Epoch: [12][ 50/206]	Time (s):  0.992	Loss: -0.7780
Epoch: [12][ 60/206]	Time (s):  0.986	Loss: -0.8269
Epoch: [12][ 70/206]	Time (s):  0.991	Loss: -0.6970
Epoch: [12][ 80/206]	Time (s):  0.995	Loss: -0.7826
Epoch: [12][ 90/206]	Time (s):  0.983	Loss: -0.7986
Epoch: [12][100/206]	Time (s):  0.994	Loss: -0.7013
Epoch: [12][110/206]	Time (s):  0.984	Loss: -0.5701
Epoch: [12][120/206]	Time (s):  0.990	Loss: -0.7235
Epoch: [12][130/206]	Time (s):  0.991	Loss: -0.6281
Epoch: [12][140/206]	Time (s):  0.990	Loss: -0.7369
Epoch: [12][150/206]	Time (s):  0.995	Loss: -0.8110
Epoch: [12][160/206]	Time (s):  0.995	Loss: -0.7504
Epoch: [12][170/206]	Time (s):  0.985	Loss: -0.8114
