Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [2][1060/1256]	Time (s):  0.259	Loss: -0.9999
Epoch: [2][1070/1256]	Time (s):  0.256	Loss: 0.9885
Epoch: [2][1080/1256]	Time (s):  0.257	Loss: -0.9996
Epoch: [2][1090/1256]	Time (s):  0.258	Loss: -0.9999
Epoch: [2][1100/1256]	Time (s):  0.259	Loss: -0.9999
Epoch: [2][1110/1256]	Time (s):  0.258	Loss: -0.9995
Epoch: [2][1120/1256]	Time (s):  0.262	Loss: -0.9999
Epoch: [2][1130/1256]	Time (s):  0.256	Loss: -0.9913
Epoch: [2][1140/1256]	Time (s):  0.259	Loss: -0.9994
Epoch: [2][1150/1256]	Time (s):  0.261	Loss: -0.9998
Epoch: [2][1160/1256]	Time (s):  0.256	Loss: -0.9999
Epoch: [2][1170/1256]	Time (s):  0.259	Loss: -0.9985
Epoch: [2][1180/1256]	Time (s):  0.260	Loss: -0.9999
Epoch: [2][1190/1256]	Time (s):  0.260	Loss: -0.9998
Epoch: [2][1200/1256]	Time (s):  0.258	Loss: 0.9992
Epoch: [2][1210/1256]	Time (s):  0.262	Loss: -0.9997
Epoch: [2][1220/1256]	Time (s):  0.259	Loss: -0.9999
Epoch: [2][1230/1256]	Time (s):  0.256	Loss: -0.9999
Epoch: [2][1240/1256]	Time (s):  0.257	Loss: -1.0000
Epoch: [2][1250/1256]	Time (s):  0.254	Loss: -0.9997
Epoch: [3][   0/1256]	Time (s):  6.170	Loss: -0.9998
Epoch: [3][  10/1256]	Time (s):  0.193	Loss: 0.9993
Epoch: [3][  20/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [3][  30/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [3][  40/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [3][  50/1256]	Time (s):  0.196	Loss: -0.9995
Epoch: [3][  60/1256]	Time (s):  0.193	Loss: -0.9995
Epoch: [3][  70/1256]	Time (s):  0.193	Loss: -0.9997
Epoch: [3][  80/1256]	Time (s):  0.192	Loss: -0.9999
