Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [6][ 30/628]	Time (s):  0.291	Loss: -0.0010
Epoch: [6][ 40/628]	Time (s):  0.295	Loss: -0.4989
Epoch: [6][ 50/628]	Time (s):  0.291	Loss: -0.9981
Epoch: [6][ 60/628]	Time (s):  0.292	Loss: -0.2496
Epoch: [6][ 70/628]	Time (s):  0.292	Loss: -0.7479
Epoch: [6][ 80/628]	Time (s):  0.292	Loss: -0.0002
Epoch: [6][ 90/628]	Time (s):  0.292	Loss: -0.7471
Epoch: [6][100/628]	Time (s):  0.294	Loss: -0.4998
Epoch: [6][110/628]	Time (s):  0.298	Loss: -0.0000
Epoch: [6][120/628]	Time (s):  0.304	Loss: -0.4999
Epoch: [6][130/628]	Time (s):  0.314	Loss: -0.7492
Epoch: [6][140/628]	Time (s):  0.328	Loss: -0.2471
Epoch: [6][150/628]	Time (s):  0.362	Loss: -0.9988
Epoch: [6][160/628]	Time (s):  0.392	Loss: -0.7370
Epoch: [6][170/628]	Time (s):  0.389	Loss: 0.0390
Epoch: [6][180/628]	Time (s):  0.404	Loss: -0.9909
Epoch: [6][190/628]	Time (s):  0.446	Loss: -0.9987
Epoch: [6][200/628]	Time (s):  0.457	Loss: -0.4997
Epoch: [6][210/628]	Time (s):  0.469	Loss: -0.9996
Epoch: [6][220/628]	Time (s):  0.473	Loss: -0.4986
Epoch: [6][230/628]	Time (s):  0.491	Loss: -0.0003
Epoch: [6][240/628]	Time (s):  0.481	Loss: -0.9998
Epoch: [6][250/628]	Time (s):  0.482	Loss: -0.8238
Epoch: [6][260/628]	Time (s):  0.476	Loss: 0.2820
Epoch: [6][270/628]	Time (s):  0.471	Loss: -0.5411
Epoch: [6][280/628]	Time (s):  0.477	Loss: -0.4642
Epoch: [6][290/628]	Time (s):  0.466	Loss: 0.0885
Epoch: [6][300/628]	Time (s):  0.488	Loss: -0.5006
Epoch: [6][310/628]	Time (s):  0.463	Loss: -0.9696
Epoch: [6][320/628]	Time (s):  0.465	Loss: -0.5187
Epoch: [6][330/628]	Time (s):  0.459	Loss: -0.5895
Epoch: [6][340/628]	Time (s):  0.446	Loss: -0.2126
Epoch: [6][350/628]	Time (s):  0.442	Loss: -0.9800
Epoch: [6][360/628]	Time (s):  0.436	Loss: -0.5906
