Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'efficientnet_v2_s'
Epoch: [27][70/78]	Time (s):  5.381	Loss: -0.8974
Epoch: [28][ 0/78]	Time (s): 17.062	Loss: -0.8857
Epoch: [28][10/78]	Time (s):  4.754	Loss: -0.8751
Epoch: [28][20/78]	Time (s):  4.523	Loss: -0.8861
Epoch: [28][30/78]	Time (s):  5.349	Loss: -0.8842
Epoch: [28][40/78]	Time (s):  5.647	Loss: -0.9045
Epoch: [28][50/78]	Time (s):  5.488	Loss: -0.9005
Epoch: [28][60/78]	Time (s):  6.242	Loss: -0.9172
Epoch: [28][70/78]	Time (s):  5.059	Loss: -0.9018
Epoch: [29][ 0/78]	Time (s): 14.161	Loss: -0.8973
Epoch: [29][10/78]	Time (s):  4.307	Loss: -0.9066
Epoch: [29][20/78]	Time (s):  5.393	Loss: -0.9035
Epoch: [29][30/78]	Time (s):  6.942	Loss: -0.8974
Epoch: [29][40/78]	Time (s):  5.987	Loss: -0.8941
Epoch: [29][50/78]	Time (s):  5.383	Loss: -0.8921
Epoch: [29][60/78]	Time (s):  5.572	Loss: -0.9153
Epoch: [29][70/78]	Time (s):  4.955	Loss: -0.8962
Checkpoint 29 saved.
Epoch: [30][ 0/78]	Time (s): 15.070	Loss: -0.8990
Epoch: [30][10/78]	Time (s):  4.810	Loss: -0.9000
Epoch: [30][20/78]	Time (s):  6.071	Loss: -0.9000
Epoch: [30][30/78]	Time (s):  6.202	Loss: -0.8931
Epoch: [30][40/78]	Time (s):  5.430	Loss: -0.9093
Epoch: [30][50/78]	Time (s):  6.053	Loss: -0.8992
Epoch: [30][60/78]	Time (s):  5.459	Loss: -0.8867
Epoch: [30][70/78]	Time (s):  4.985	Loss: -0.9070
Epoch: [31][ 0/78]	Time (s): 13.127	Loss: -0.9063
Epoch: [31][10/78]	Time (s):  4.942	Loss: -0.9202
Epoch: [31][20/78]	Time (s):  4.191	Loss: -0.9081
Epoch: [31][30/78]	Time (s):  5.908	Loss: -0.9072
Epoch: [31][40/78]	Time (s):  5.708	Loss: -0.8985
Epoch: [31][50/78]	Time (s):  5.224	Loss: -0.8944
Epoch: [31][60/78]	Time (s):  5.593	Loss: -0.8962
Epoch: [31][70/78]	Time (s):  5.025	Loss: -0.9107
Epoch: [32][ 0/78]	Time (s): 13.968	Loss: -0.8843
Epoch: [32][10/78]	Time (s):  4.942	Loss: -0.8983
Epoch: [32][20/78]	Time (s):  4.400	Loss: -0.9110
Epoch: [32][30/78]	Time (s):  5.929	Loss: -0.8857
Epoch: [32][40/78]	Time (s):  5.369	Loss: -0.8753
Epoch: [32][50/78]	Time (s):  5.649	Loss: -0.8808
